epoch,acc,loss,lr,val_acc,val_loss
0,0.0654730091099,12.4892293124,0.001,0.0,18.5900775728
1,0.0677445216462,10.2683035449,0.001,0.000595238095238,10.7238965171
2,0.0698824158324,9.5096471497,0.001,0.00119047619048,10.4921131316
3,0.0712185996913,8.97293034956,0.001,0.000595238095238,11.8102869306
4,0.0741582041689,8.03655708085,0.001,0.000595238095238,9.70558629717
5,0.077632282214,7.35759848901,0.001,0.00238095238095,9.65875573839
6,0.094601817222,6.83654886207,0.001,0.00357142857143,9.34241883414
7,0.121859967936,6.32469580251,0.001,0.0047619047619,9.72331830888
8,0.144575093557,5.96281403619,0.001,0.00357142857143,10.2713491894
9,0.179182255478,5.5427872012,0.001,0.0107142857143,9.93493616013
10,0.21793158739,5.01918011741,0.001,0.0119047619048,9.84843086969
11,0.257749866429,4.52345600872,0.001,0.0160714285714,10.5783298129
12,0.315606627472,4.07775213615,0.001,0.0232142857143,10.2787752969
13,0.537279529759,2.96672400697,0.000316228,0.0345238095238,9.32394180298
